Conservative,Liberals,NDP,Province,Time
38,34,18,National,2018-03-01
36,36,16,National,2018-04-01
39,34,17,National,2018-05-01
35,34,19,National,2018-06-01
35,38,18,National,2018-07-01
35,38,17,National,2018-08-01
34,38,15,National,2018-09-01
34,36,17,National,2018-10-01
34,37,14,National,2018-11-01
34,36,17,National,2018-12-01
34,37,13,National,2019-01-01
36,33,15,National,2019-02-01
32,24,34,British Columbia,2018-03-01
34,21,32,British Columbia,2018-04-01
32,21,34,British Columbia,2018-05-01
31,24,33,British Columbia,2018-06-01
31,23,32,British Columbia,2018-07-01
27,23,37,British Columbia,2018-08-01
30,20,34,British Columbia,2018-09-01
28,24,36,British Columbia,2018-10-01
30,19,36,British Columbia,2018-11-01
31,22,34,British Columbia,2018-12-01
33,16,32,British Columbia,2019-01-01
33,20,30,British Columbia,2019-02-01
63,14,20,Alberta,2018-03-01
64,9,22,Alberta,2018-04-01
62,12,21,Alberta,2018-05-01
58,13,24,Alberta,2018-06-01
56,14,24,Alberta,2018-07-01
66,10,20,Alberta,2018-08-01
61,11,24,Alberta,2018-09-01
61,12,20,Alberta,2018-10-01
61,9,21,Alberta,2018-11-01
60,13,19,Alberta,2018-12-01
56,9,24,Alberta,2019-01-01
61,12,19,Alberta,2019-02-01
48,19,26,Praires,2018-03-01
47,18,27,Praires,2018-04-01
48,20,26,Praires,2018-05-01
48,16,27,Praires,2018-06-01
46,17,31,Praires,2018-07-01
44,18,28,Praires,2018-08-01
45,16,33,Praires,2018-09-01
47,12,33,Praires,2018-10-01
46,16,28,Praires,2018-11-01
44,18,29,Praires,2018-12-01
42,18,28,Praires,2019-01-01
46,15,28,Praires,2019-02-01
42,17,36,Ontario,2018-03-01
39,16,39,Ontario,2018-04-01
41,18,36,Ontario,2018-05-01
37,23,33,Ontario,2018-06-01
36,20,39,Ontario,2018-07-01
38,19,37,Ontario,2018-08-01
34,17,43,Ontario,2018-09-01
36,18,39,Ontario,2018-10-01
35,14,43,Ontario,2018-11-01
38,17,38,Ontario,2018-12-01
36,12,42,Ontario,2019-01-01
37,17,36,Ontario,2019-02-01
23,39,19,Quebec,2018-03-01
21,42,15,Quebec,2018-04-01
26,38,15,Quebec,2018-05-01
22,41,15,Quebec,2018-06-01
22,45,16,Quebec,2018-07-01
20,47,12,Quebec,2018-08-01
22,38,14,Quebec,2018-09-01
18,39,16,Quebec,2018-10-01
21,36,14,Quebec,2018-11-01
19,40,15,Quebec,2018-12-01
21,38,11,Quebec,2019-01-01
22,37,11,Quebec,2019-02-01
30,46,17,Atlantic,2018-03-01
32,45,15,Atlantic,2018-04-01
30,49,14,Atlantic,2018-05-01
25,52,16,Atlantic,2018-06-01
25,51,13,Atlantic,2018-07-01
30,52,12,Atlantic,2018-08-01
33,46,10,Atlantic,2018-09-01
35,44,12,Atlantic,2018-10-01
28,49,10,Atlantic,2018-11-01
26,45,13,Atlantic,2018-12-01
26,47,11,Atlantic,2019-01-01
32,45,10,Atlantic,2019-02-01
